#x_m        ; y_m         ; vx_mps      ; psi_rad     ; kappa_radpm
-40.5079655 ; -1.7596500  ; 8.0000000   ; 2.1735798   ; -0.0133605
-40.6211104 ; -1.5947809  ; 8.0000000   ; 2.1709219   ; -0.0132245
-40.7338189 ; -1.4296131  ; 8.0000000   ; 2.1682911   ; -0.0130886
-40.8460950 ; -1.2641506  ; 8.0000000   ; 2.1656875   ; -0.0129529
-40.9579418 ; -1.0983985  ; 8.0000000   ; 2.1631110   ; -0.0128175
-41.0693638 ; -0.9323596  ; 8.0000000   ; 2.1605616   ; -0.0126821
-41.1803640 ; -0.7660391  ; 8.0000000   ; 2.1580392   ; -0.0125471
-41.2909468 ; -0.5994406  ; 8.0000000   ; 2.1555438   ; -0.0124122
-41.4011159 ; -0.4325677  ; 8.0000000   ; 2.1530753   ; -0.0122774
-41.5108746 ; -0.2654256  ; 8.0000000   ; 2.1506338   ; -0.0121430
-41.6202276 ; -0.0980168  ; 8.0000000   ; 2.1482191   ; -0.0120086
-41.7291779 ; 0.0696537   ; 8.0000000   ; 2.1458313   ; -0.0118744
-41.8377299 ; 0.2375825   ; 8.0000000   ; 2.1434703   ; -0.0117405
-41.9458877 ; 0.4057660   ; 8.0000000   ; 2.1411361   ; -0.0116066
-42.0536543 ; 0.5741994   ; 8.0000000   ; 2.1388286   ; -0.0114730
-42.1610348 ; 0.7428803   ; 8.0000000   ; 2.1365478   ; -0.0113395
-42.2680321 ; 0.9118037   ; 8.0000000   ; 2.1342937   ; -0.0112062
-42.3746507 ; 1.0809667   ; 8.0000000   ; 2.1320662   ; -0.0110731
-42.4808948 ; 1.2503657   ; 8.0000000   ; 2.1298653   ; -0.0109400
-42.5867676 ; 1.4199959   ; 8.0000000   ; 2.1276911   ; -0.0108073
-42.6922740 ; 1.5898552   ; 8.0000000   ; 2.1255433   ; -0.0106745
-42.7974173 ; 1.7599389   ; 8.0000000   ; 2.1234221   ; -0.0105420
-42.9022019 ; 1.9302439   ; 8.0000000   ; 2.1213274   ; -0.0104097
-43.0066321 ; 2.1007671   ; 8.0000000   ; 2.1192591   ; -0.0102774
-43.1107111 ; 2.2715039   ; 8.0000000   ; 2.1172172   ; -0.0101453
-43.2144440 ; 2.4424521   ; 8.0000000   ; 2.1152018   ; -0.0100133
-43.3178341 ; 2.6136072   ; 8.0000000   ; 2.1132127   ; -0.0098816
-43.4208859 ; 2.7849663   ; 8.0000000   ; 2.1112499   ; -0.0097499
-43.5236037 ; 2.9565264   ; 8.0000000   ; 2.1093135   ; -0.0096183
-43.6259909 ; 3.1282832   ; 8.0000000   ; 2.1074034   ; -0.0094869
-43.7280524 ; 3.3002343   ; 8.0000000   ; 2.1055195   ; -0.0093556
-43.8297919 ; 3.4723758   ; 8.0000000   ; 2.1036619   ; -0.0092245
-43.9312138 ; 3.6447047   ; 8.0000000   ; 2.1018305   ; -0.0090935
-44.0323222 ; 3.8172180   ; 8.0000000   ; 2.1000253   ; -0.0089625
-44.1331211 ; 3.9899119   ; 8.0000000   ; 2.0982462   ; -0.0088317
-44.2336151 ; 4.1627838   ; 8.0000000   ; 2.0964933   ; -0.0087009
-44.3338080 ; 4.3358301   ; 8.0000000   ; 2.0947665   ; -0.0085704
-44.4337043 ; 4.5090478   ; 8.0000000   ; 2.0930658   ; -0.0084401
-44.5333081 ; 4.6824341   ; 8.0000000   ; 2.0913912   ; -0.0083097
-44.6326236 ; 4.8559854   ; 8.0000000   ; 2.0897426   ; -0.0081796
-44.7316552 ; 5.0296991   ; 8.0000000   ; 2.0881200   ; -0.0080494
-44.8304070 ; 5.2035719   ; 8.0000000   ; 2.0865235   ; -0.0079194
-44.9288834 ; 5.3776008   ; 8.0000000   ; 2.0849529   ; -0.0077894
-45.0270886 ; 5.5517829   ; 8.0000000   ; 2.0834083   ; -0.0076596
-45.1250269 ; 5.7261154   ; 8.0000000   ; 2.0818897   ; -0.0075299
