#x_m        ; y_m         ; vx_mps      ; psi_rad
-44.8304070 ; 5.2035719   ; 8.0000000   ; 2.0865235
-44.9288834 ; 5.3776008   ; 8.0000000   ; 2.0849529
-45.0270886 ; 5.5517829   ; 8.0000000   ; 2.0834083
-45.1250269 ; 5.7261154   ; 8.0000000   ; 2.0818897
-45.2227025 ; 5.9005948   ; 8.0000000   ; 2.0803970
-45.3201200 ; 6.0752189   ; 8.0000000   ; 2.0789302
-45.4172835 ; 6.2499843   ; 8.0000000   ; 2.0774893
-45.5141971 ; 6.4248881   ; 8.0000000   ; 2.0760743
-45.6108658 ; 6.5999281   ; 8.0000000   ; 2.0746851
-45.7072931 ; 6.7751003   ; 8.0000000   ; 2.0733218
-45.8034840 ; 6.9504032   ; 8.0000000   ; 2.0719844
-45.8994426 ; 7.1258331   ; 8.0000000   ; 2.0706727
-45.9951730 ; 7.3013870   ; 8.0000000   ; 2.0693868
-46.0906804 ; 7.4770636   ; 8.0000000   ; 2.0681267
-46.1859680 ; 7.6528582   ; 8.0000000   ; 2.0668923
-46.2810413 ; 7.8287699   ; 8.0000000   ; 2.0656837
-46.3759040 ; 8.0047948   ; 8.0000000   ; 2.0645008
-46.4705603 ; 8.1809299   ; 8.0000000   ; 2.0633437
-46.5650158 ; 8.3571747   ; 8.0000000   ; 2.0622122
-46.6592732 ; 8.5335235   ; 8.0000000   ; 2.0611064
-46.7533385 ; 8.7099764   ; 8.0000000   ; 2.0600263
-46.8472152 ; 8.8865292   ; 8.0000000   ; 2.0589718
-46.9409075 ; 9.0631788   ; 8.0000000   ; 2.0579429
-47.0344212 ; 9.2399253   ; 8.0000000   ; 2.0569397
-47.1277588 ; 9.4167625   ; 8.0000000   ; 2.0559621
-47.2209265 ; 9.5936911   ; 8.0000000   ; 2.0550101
-47.3139277 ; 9.7707066   ; 8.0000000   ; 2.0540837
-47.4067666 ; 9.9478060   ; 8.0000000   ; 2.0531828
-47.4994494 ; 10.1249900  ; 8.0000000   ; 2.0523075
-47.5919781 ; 10.3022515  ; 8.0000000   ; 2.0514578
-47.6843593 ; 10.4795922  ; 8.0000000   ; 2.0506335
-47.7765963 ; 10.6570072  ; 8.0000000   ; 2.0498348
-47.8686931 ; 10.8344933  ; 8.0000000   ; 2.0490616
-47.9606563 ; 11.0120521  ; 8.0000000   ; 2.0483139
-48.0524876 ; 11.1896757  ; 8.0000000   ; 2.0475916
-48.1441939 ; 11.3673665  ; 8.0000000   ; 2.0468949
-48.2357782 ; 11.5451193  ; 8.0000000   ; 2.0462236
-48.3272447 ; 11.7229309  ; 8.0000000   ; 2.0455777
-48.4186002 ; 11.9008034  ; 8.0000000   ; 2.0449572
-48.5098460 ; 12.0787282  ; 8.0000000   ; 2.0443622
-48.6009893 ; 12.2567086  ; 8.0000000   ; 2.0437926
-48.6920331 ; 12.4347389  ; 8.0000000   ; 2.0432483
-48.7829814 ; 12.6128158  ; 8.0000000   ; 2.0427295
-48.8738413 ; 12.7909422  ; 8.0000000   ; 2.0422360
-48.9646138 ; 12.9691088  ; 8.0000000   ; 2.0417678
-49.0553065 ; 13.1473194  ; 8.0000000   ; 2.0413250
-49.1459220 ; 13.3255680  ; 8.0000000   ; 2.0409076
-49.2364644 ; 13.5038516  ; 8.0000000   ; 2.0405154
-49.3269411 ; 13.6821731  ; 8.0000000   ; 2.0401486
-49.4173527 ; 13.8605229  ; 8.0000000   ; 2.0398070
-49.5077070 ; 14.0389054  ; 8.0000000   ; 2.0394907
-49.5980067 ; 14.2173142  ; 8.0000000   ; 2.0391997
-49.6882558 ; 14.3957463  ; 8.0000000   ; 2.0389339
-49.7784616 ; 14.5742051  ; 8.0000000   ; 2.0386934
-49.8686248 ; 14.7526805  ; 8.0000000   ; 2.0384781
-49.9587533 ; 14.9311772  ; 8.0000000   ; 2.0382880
-50.0488496 ; 15.1096889  ; 8.0000000   ; 2.0381230
-50.1389177 ; 15.2882123  ; 8.0000000   ; 2.0379833
-50.2289652 ; 15.4667512  ; 8.0000000   ; 2.0378688
-50.3189923 ; 15.6452951  ; 8.0000000   ; 2.0377794
-50.4090074 ; 15.8238491  ; 8.0000000   ; 2.0377151
-50.4990126 ; 16.0024066  ; 8.0000000   ; 2.0376759
-50.5890121 ; 16.1809647  ; 8.0000000   ; 2.0376618
-50.6790134 ; 16.3595269  ; 8.0000000   ; 2.0376726
-50.7690167 ; 16.5380828  ; 8.0000000   ; 2.0377081
-50.8590301 ; 16.7166377  ; 8.0000000   ; 2.0377682
-50.9490558 ; 16.8951848  ; 8.0000000   ; 2.0378520
-51.0390975 ; 17.0737213  ; 8.0000000   ; 2.0379598
-51.1291629 ; 17.2522504  ; 8.0000000   ; 2.0380976
-51.2192542 ; 17.4307624  ; 8.0000000   ; 2.0382682
-51.3093801 ; 17.6092600  ; 8.0000000   ; 2.0384715
-51.3995447 ; 17.7877370  ; 8.0000000   ; 2.0387073
-51.4897537 ; 17.9661900  ; 8.0000000   ; 2.0389755
-51.5800148 ; 18.1446203  ; 8.0000000   ; 2.0392746
-51.6703304 ; 18.3230190  ; 8.0000000   ; 2.0396038
-51.7607086 ; 18.5013892  ; 8.0000000   ; 2.0399631
-51.8511531 ; 18.6797245  ; 8.0000000   ; 2.0403524
-51.9416690 ; 18.8580219  ; 8.0000000   ; 2.0407718
-52.0322638 ; 19.0362828  ; 8.0000000   ; 2.0412212
-52.1229398 ; 19.2144986  ; 8.0000000   ; 2.0417007
-52.2137053 ; 19.3926720  ; 8.0000000   ; 2.0422101
-52.3045636 ; 19.5707968  ; 8.0000000   ; 2.0427496
-52.3955201 ; 19.7488699  ; 8.0000000   ; 2.0433190
-52.4865819 ; 19.9268926  ; 8.0000000   ; 2.0439183
-52.5777517 ; 20.1048564  ; 8.0000000   ; 2.0445476
-52.6690373 ; 20.2827637  ; 8.0000000   ; 2.0452068
-52.7604423 ; 20.4606086  ; 8.0000000   ; 2.0458959
-52.8519719 ; 20.6383880  ; 8.0000000   ; 2.0466149
-52.9436333 ; 20.8161025  ; 8.0000000   ; 2.0473638
-53.0354290 ; 20.9937444  ; 8.0000000   ; 2.0481425
-53.1273667 ; 21.1713155  ; 8.0000000   ; 2.0489511
-53.2194502 ; 21.3488100  ; 8.0000000   ; 2.0497894
-53.3116847 ; 21.5262249  ; 8.0000000   ; 2.0506576
-53.4040768 ; 21.7035603  ; 8.0000000   ; 2.0515556
-53.4966297 ; 21.8808091  ; 8.0000000   ; 2.0524833
-53.5893505 ; 22.0579725  ; 8.0000000   ; 2.0534408
-53.6822432 ; 22.2350448  ; 8.0000000   ; 2.0544281
-53.7753128 ; 22.4120232  ; 8.0000000   ; 2.0554450
-53.8685659 ; 22.5889072  ; 8.0000000   ; 2.0564917
-53.9620057 ; 22.7656901  ; 8.0000000   ; 2.0575680
-54.0556393 ; 22.9423727  ; 8.0000000   ; 2.0586741
-54.1494704 ; 23.1189495  ; 8.0000000   ; 2.0598098
-54.2435043 ; 23.2954176  ; 8.0000000   ; 2.0609751
-54.3377472 ; 23.4717760  ; 8.0000000   ; 2.0621701
-54.4322025 ; 23.6480186  ; 8.0000000   ; 2.0633947
-54.5268769 ; 23.8241455  ; 8.0000000   ; 2.0646489
-54.6217744 ; 24.0001515  ; 8.0000000   ; 2.0659327
-54.7169001 ; 24.1760336  ; 8.0000000   ; 2.0672460
-54.8122600 ; 24.3517904  ; 8.0000000   ; 2.0685890
-54.9078577 ; 24.5274162  ; 8.0000000   ; 2.0699614
-55.0036995 ; 24.7029104  ; 8.0000000   ; 2.0713634
-55.0997896 ; 24.8782681  ; 8.0000000   ; 2.0727950
-55.1961330 ; 25.0534863  ; 8.0000000   ; 2.0742560
-55.2927354 ; 25.2285630  ; 8.0000000   ; 2.0757465
-55.3896007 ; 25.4034931  ; 8.0000000   ; 2.0772665
-55.4867348 ; 25.5782751  ; 8.0000000   ; 2.0788160
-55.5841419 ; 25.7529047  ; 8.0000000   ; 2.0803949
-55.6818271 ; 25.9273786  ; 8.0000000   ; 2.0820032
-55.7797957 ; 26.1016942  ; 8.0000000   ; 2.0836410
-55.8780518 ; 26.2758471  ; 8.0000000   ; 2.0853082
-55.9766010 ; 26.4498350  ; 8.0000000   ; 2.0870048
-56.0754477 ; 26.6236538  ; 8.0000000   ; 2.0887308
-56.1745967 ; 26.7973002  ; 8.0000000   ; 2.0904862
-56.2740531 ; 26.9707710  ; 8.0000000   ; 2.0922709
-56.3738213 ; 27.1440624  ; 8.0000000   ; 2.0940851
-56.4739064 ; 27.3171712  ; 8.0000000   ; 2.0959285
-56.5743129 ; 27.4900936  ; 8.0000000   ; 2.0978013
-56.6750456 ; 27.6628262  ; 8.0000000   ; 2.0997035
-56.7761093 ; 27.8353654  ; 8.0000000   ; 2.1016349
-56.8775085 ; 28.0077077  ; 8.0000000   ; 2.1035957
-56.9792480 ; 28.1798492  ; 8.0000000   ; 2.1055858
-57.0813324 ; 28.3517864  ; 8.0000000   ; 2.1076052
-57.1837663 ; 28.5235157  ; 8.0000000   ; 2.1096539
-57.2865542 ; 28.6950332  ; 8.0000000   ; 2.1117319
-57.3897011 ; 28.8663354  ; 8.0000000   ; 2.1138391
-57.4932109 ; 29.0374180  ; 8.0000000   ; 2.1159757
-57.5970887 ; 29.2082778  ; 8.0000000   ; 2.1181415
-57.7013388 ; 29.3789108  ; 8.0000000   ; 2.1203366
-57.8059655 ; 29.5493126  ; 8.0000000   ; 2.1225609
-57.9109739 ; 29.7194803  ; 8.0000000   ; 2.1248146
-58.0163675 ; 29.8894088  ; 8.0000000   ; 2.1270974
-58.1221515 ; 30.0590950  ; 8.0000000   ; 2.1294096
-58.2283301 ; 30.2285347  ; 8.0000000   ; 2.1317510
-58.3349073 ; 30.3977233  ; 8.0000000   ; 2.1341217
